행정동,업종,키워드,카운트
가회동,동남아시아,가지튀김,1
가회동,동남아시아,귀한,1
가회동,동남아시아,깔끔한,1
가회동,동남아시아,꽃게,1
가회동,동남아시아,넓은,1
가회동,동남아시아,달다,1
가회동,동남아시아,맛있는,3
가회동,동남아시아,맛있는 음식,1
가회동,동남아시아,맛있는 팟타이,1
가회동,동남아시아,물가,1
가회동,동남아시아,반미,1
가회동,동남아시아,베트남,1
가회동,동남아시아,볶음밥,1
가회동,동남아시아,사장님,1
가회동,동남아시아,새우,1
가회동,동남아시아,쌀국수,1
가회동,동남아시아,아쉬운,1
가회동,동남아시아,운영되는,1
가회동,동남아시아,웨이팅,1
가회동,동남아시아,주말,1
가회동,동남아시아,짠,1
가회동,동남아시아,커리,2
가회동,동남아시아,큰,1
가회동,동남아시아,태국,1
가회동,동남아시아,팟타이,2
가회동,동남아시아,환기,1
가회동,분식,가성비,2
가회동,분식,간단하게 먹는,1
가회동,분식,관광객,1
가회동,분식,기름,1
가회동,분식,김밥,4
가회동,분식,깔끔한,1
가회동,분식,깨끗한,1
가회동,분식,꽉찬,1
가회동,분식,내장,1
가회동,분식,단무지,1
가회동,분식,당근,1
가회동,분식,동네,1
가회동,분식,된장찌개,1
가회동,분식,떡볶이,1
가회동,분식,라면,2
가회동,분식,맛있는,4
가회동,분식,맛있는 김밥,1
가회동,분식,별로,1
가회동,분식,분식점,1
가회동,분식,불친절한,1
가회동,분식,사장님,1
가회동,분식,소풍,1
가회동,분식,손님,1
가회동,분식,순대,1
가회동,분식,신선한,1
가회동,분식,참치김밥,1
가회동,분식,친절한,1
가회동,분식,큰,1
가회동,분식,튀김,1
가회동,분식,햄,1
가회동,분식,혼밥,2
가회동,서양식,가까운,1
가회동,서양식,가성비,2
가회동,서양식,갈비,1
가회동,서양식,귀여운,1
가회동,서양식,기다림,1
가회동,서양식,기대한,1
가회동,서양식,나이스,1
가회동,서양식,달팽이,1
가회동,서양식,대기,1
가회동,서양식,대화,1
가회동,서양식,대화하기 좋은,1
가회동,서양식,도우,1
가회동,서양식,돈까스,1
가회동,서양식,둘이서,1
가회동,서양식,등심,1
가회동,서양식,레귤러,1
가회동,서양식,맛있는,9
가회동,서양식,맛집,1
가회동,서양식,매운,1
가회동,서양식,배부른,2
가회동,서양식,부드러운,1
가회동,서양식,분위기,3
가회동,서양식,불편한,1
가회동,서양식,뷰,1
가회동,서양식,사장님,2
가회동,서양식,샐러드,1
가회동,서양식,서비스,1
가회동,서양식,서빙,1
가회동,서양식,세트,2
가회동,서양식,소스,2
가회동,서양식,스테이크,1
가회동,서양식,스프,1
가회동,서양식,식후,1
가회동,서양식,아쉬운,2
가회동,서양식,안주,1
가회동,서양식,양,2
가회동,서양식,양파스프,1
가회동,서양식,어두운,1
가회동,서양식,엄마랑,1
가회동,서양식,연말,1
가회동,서양식,예쁜,1
가회동,서양식,오므라이스,1
가회동,서양식,와인,1
가회동,서양식,요리,1
가회동,서양식,웨이팅,1
가회동,서양식,인테리어,2
가회동,서양식,작은,1
가회동,서양식,적다,1
가회동,서양식,적당한,1
가회동,서양식,점심,1
가회동,서양식,조명,1
가회동,서양식,조용한,1
가회동,서양식,좋은 분위기,1
가회동,서양식,좋은 음식,1
가회동,서양식,즐기는,1
가회동,서양식,추천하는,1
가회동,서양식,치즈,1
가회동,서양식,치킨,1
가회동,서양식,친구랑,2
가회동,서양식,친절한,5
가회동,서양식,친절한 사장님,1
가회동,서양식,카레,1
가회동,서양식,케이크,1
가회동,서양식,코스,1
가회동,서양식,크림,1
가회동,서양식,타코,1
가회동,서양식,테이블,1
가회동,서양식,특별한,2
가회동,서양식,파스타,3
가회동,서양식,피자,1
가회동,서양식,협소한,1
가회동,서양식,호랑이,1
가회동,서양식,혼밥,1
가회동,서양식,후식,1
가회동,일식,가까운,1
가회동,일식,가까워지다,1
가회동,일식,가성비,1
가회동,일식,강추,1
가회동,일식,계란말이,1
가회동,일식,국물,1
가회동,일식,굴,1
가회동,일식,궁금한,1
가회동,일식,기다림,1
가회동,일식,김치,1
가회동,일식,깔끔한,1
가회동,일식,꼬막비빔밥,1
가회동,일식,꽉찬,1
가회동,일식,넓은,1
가회동,일식,뇨끼,1
가회동,일식,느린,1
가회동,일식,단계,1
가회동,일식,대화,1
가회동,일식,돈까스,2
가회동,일식,동네,1
가회동,일식,등심,1
가회동,일식,딱딱한,1
가회동,일식,라멘,1
가회동,일식,맛있는,6
가회동,일식,맛집,1
가회동,일식,매운,1
가회동,일식,면,1
가회동,일식,무한리필,1
가회동,일식,묵직한,1
가회동,일식,밉다,1
가회동,일식,밥,1
가회동,일식,부드러운,2
가회동,일식,분위기,2
가회동,일식,불쾌한,1
가회동,일식,비꼬다,1
가회동,일식,사장님,1
가회동,일식,새로운,1
가회동,일식,생선회,1
가회동,일식,소금,1
가회동,일식,소스,1
가회동,일식,식재료,1
가회동,일식,신경쓴,1
가회동,일식,신선한,1
가회동,일식,안심,1
가회동,일식,안주,1
가회동,일식,오래된,1
가회동,일식,오래된 밥,1
가회동,일식,웨이팅,2
가회동,일식,점심,1
가회동,일식,좋은 분위기,1
가회동,일식,청결한,1
가회동,일식,초밥,1
가회동,일식,친절한,2
가회동,일식,카레,1
가회동,일식,큰,1
가회동,일식,파스타,1
가회동,일식,포장,1
가회동,일식,해물탕,1
가회동,일식,혼밥,1
가회동,일식,후토마끼,1
가회동,주점,감자,1
가회동,주점,골든에일,1
가회동,주점,공간,2
가회동,주점,기네스,1
가회동,주점,깔끔한,2
가회동,주점,깨끗한,1
가회동,주점,넓은,1
가회동,주점,다양한,1
가회동,주점,단골,1
가회동,주점,데이트,2
가회동,주점,만석,1
가회동,주점,만족하는,1
가회동,주점,맛있는,5
가회동,주점,맛집,1
가회동,주점,매운,1
가회동,주점,맥주,1
가회동,주점,바나나,1
가회동,주점,바나나푸딩,1
가회동,주점,바베큐,1
가회동,주점,별로,1
가회동,주점,분위기,4
가회동,주점,불편한,1
가회동,주점,비율,1
가회동,주점,빵,2
가회동,주점,사장님,2
가회동,주점,생맥주,1
가회동,주점,설레는,1
가회동,주점,섭섭하다,1
가회동,주점,센스,1
가회동,주점,손님,2
가회동,주점,숯불,1
가회동,주점,아쉬운,1
가회동,주점,안주,2
가회동,주점,알려진,1
가회동,주점,어울리는,1
가회동,주점,여전한,1
가회동,주점,예쁜,1
가회동,주점,와인,1
가회동,주점,위스키,1
가회동,주점,음악,1
가회동,주점,인테리어,2
가회동,주점,잔,1
가회동,주점,조용한,1
가회동,주점,좌석,1
가회동,주점,직원,1
가회동,주점,차,1
가회동,주점,창가,1
가회동,주점,치맥,1
가회동,주점,치킨,1
가회동,주점,친절한,2
가회동,주점,카프레제,1
가회동,주점,커피,3
가회동,주점,타르,1
가회동,주점,토마토,1
가회동,주점,편한,2
가회동,주점,푸딩,1
가회동,주점,한옥,1
가회동,주점,한잔,2
가회동,주점,한치,1
가회동,주점,향,1
가회동,중식,넓은,1
가회동,중식,다양한,1
가회동,중식,라면,1
가회동,중식,맛있는,1
가회동,중식,매운,1
가회동,중식,모임,1
가회동,중식,분위기,1
가회동,중식,삼선짬뽕,1
가회동,중식,신선한,1
가회동,중식,중국집,1
가회동,카페,가볍게,2
가회동,카페,가성비,5
가회동,카페,가성비 좋은,3
가회동,카페,간식,1
가회동,카페,갈증,1
가회동,카페,감성,1
가회동,카페,감자튀김,1
가회동,카페,건강한,1
가회동,카페,계란,1
가회동,카페,고급스러운,2
가회동,카페,고소한,1
가회동,카페,고양이,1
가회동,카페,고추,1
가회동,카페,고추 쿠키,1
가회동,카페,공간,4
가회동,카페,과일주스,1
가회동,카페,구경하는 재미,1
가회동,카페,귀여운,6
가회동,카페,귀여운 공간,1
가회동,카페,귀여운 직원,1
가회동,카페,귀여운 쿠키,1
가회동,카페,그릭요거트,1
가회동,카페,그린마일라떼,1
가회동,카페,금귤,1
가회동,카페,기다림,2
가회동,카페,기대한,2
가회동,카페,까눌레,1
가회동,카페,깔끔한,4
가회동,카페,꼬끄,1
가회동,카페,낮술,1
가회동,카페,내부 인테리어,1
가회동,카페,넉넉한 공간,1
가회동,카페,노래,1
가회동,카페,녹차,1
가회동,카페,다양한,7
가회동,카페,다양한 맛,1
가회동,카페,다쿠아즈,1
가회동,카페,달다,1
가회동,카페,담백한,1
가회동,카페,대기,1
가회동,카페,대화,2
가회동,카페,더블샷,1
가회동,카페,더치커피,1
가회동,카페,도넛,2
가회동,카페,도토리,1
가회동,카페,두꺼운,1
가회동,카페,디저트,6
가회동,카페,따뜻한,2
가회동,카페,딸기,5
가회동,카페,딸기에이드,1
가회동,카페,라떼,2
가회동,카페,라우겐,1
가회동,카페,라우겐 크로아상,1
가회동,카페,라우겐 크루아상,1
가회동,카페,런던베이글,1
가회동,카페,레몬,1
가회동,카페,레몬 타르트,1
가회동,카페,레이어드,1
가회동,카페,레트로,1
가회동,카페,루벤,1
가회동,카페,루프탑,1
가회동,카페,마들렌,1
가회동,카페,마카롱,3
가회동,카페,만원,1
가회동,카페,만족하는,1
가회동,카페,많은 사람,1
가회동,카페,맛있는,51
가회동,카페,맛있는 라떼,2
가회동,카페,맛있는 버블티,1
가회동,카페,맛있는 붕어빵,1
가회동,카페,맛있는 빵,1
가회동,카페,맛있는 음료,1
가회동,카페,맛있는 커피,5
가회동,카페,맛있는 쿠키,1
가회동,카페,맛집,8
가회동,카페,맥주,2
가회동,카페,머랭,1
가회동,카페,멋진,1
가회동,카페,목요일,1
가회동,카페,묵직한,1
가회동,카페,문인,1
가회동,카페,밀크티,3
가회동,카페,바깥,1
가회동,카페,바뀐,1
가회동,카페,바나나,1
가회동,카페,바닐라,1
가회동,카페,바삭한,1
가회동,카페,바이크,1
가회동,카페,바테이블,1
가회동,카페,발견한,1
가회동,카페,방앗간,1
가회동,카페,배신,1
가회동,카페,버블티,1
가회동,카페,버터,2
가회동,카페,버터크림라떼,1
가회동,카페,베이글,1
가회동,카페,베이스,1
가회동,카페,베이커리,1
가회동,카페,별로,1
가회동,카페,부드러운,4
가회동,카페,부족한,1
가회동,카페,분위기,20
가회동,카페,불쾌한,1
가회동,카페,불편한,1
가회동,카페,붕어빵,1
가회동,카페,뷰,3
가회동,카페,블루마운틴,1
가회동,카페,비싼,4
가회동,카페,빙수,1
가회동,카페,빵,8
가회동,카페,사내커피숍,1
가회동,카페,사블레,1
가회동,카페,사장님,5
가회동,카페,사진,1
가회동,카페,산책,1
가회동,카페,상큼한,1
가회동,카페,샌드위치,4
가회동,카페,샐러드,1
가회동,카페,생과일주스,1
가회동,카페,생초콜릿,1
가회동,카페,서점,1
가회동,카페,설명,2
가회동,카페,세트,1
가회동,카페,소금빵,2
가회동,카페,소금집,1
가회동,카페,손님,2
가회동,카페,수요미식회,1
가회동,카페,수제,1
가회동,카페,쉼,1
가회동,카페,스콘,2
가회동,카페,스타일,1
가회동,카페,스탠딩바,1
가회동,카페,시골,1
가회동,카페,시그니처,1
가회동,카페,시나몬,1
가회동,카페,식감,1
가회동,카페,신선한,1
가회동,카페,신청,1
가회동,카페,싱거운,2
가회동,카페,싱거운 아이스라떼,1
가회동,카페,싼 가격,1
가회동,카페,쌀,1
가회동,카페,아기자기한,2
가회동,카페,아늑한,1
가회동,카페,아메리카노,2
가회동,카페,아쉬운,2
가회동,카페,아이스 더치커피,1
가회동,카페,아이스라떼,1
가회동,카페,아이스크림,1
가회동,카페,아이스크림 전문점,1
가회동,카페,아인슈페너,2
가회동,카페,아저씨,1
가회동,카페,애플파이,1
가회동,카페,양,1
가회동,카페,양탕국,1
가회동,카페,어니언,1
가회동,카페,어색한,1
가회동,카페,어울리는,1
가회동,카페,얼그레이,1
가회동,카페,엄마랑,1
가회동,카페,에그타르트,1
가회동,카페,에비앙,1
가회동,카페,에스프레소,2
가회동,카페,엽서,1
가회동,카페,예쁜,13
가회동,카페,오래된,1
가회동,카페,오미자차,1
가회동,카페,오설록,1
가회동,카페,옥상,1
가회동,카페,올리브,1
가회동,카페,와인,1
가회동,카페,외국인,2
가회동,카페,요거트,2
가회동,카페,우유생크림,1
가회동,카페,원두,1
가회동,카페,웨이팅,6
가회동,카페,유명한,2
가회동,카페,율무크림라떼,1
가회동,카페,음악,3
가회동,카페,의자,1
가회동,카페,인상적인,1
가회동,카페,인테리어,12
가회동,카페,자리,5
가회동,카페,자연스러운,1
가회동,카페,작은,1
가회동,카페,잔,1
가회동,카페,잠봉뵈르,1
가회동,카페,장소,3
가회동,카페,재료,1
가회동,카페,재방문,1
가회동,카페,저녁,1
가회동,카페,저렴한,3
가회동,카페,저렴한 가격,1
가회동,카페,전통,1
가회동,카페,점심,1
가회동,카페,접근성,1
가회동,카페,정갈한,1
가회동,카페,젤라또,1
가회동,카페,조선시대,1
가회동,카페,조용한,6
가회동,카페,존맛,1
가회동,카페,종류,4
가회동,카페,좋은 가격,1
가회동,카페,좋은 분위기,1
가회동,카페,좋은 뷰,2
가회동,카페,좋은 접근성,1
가회동,카페,주변,1
가회동,카페,줄,1
가회동,카페,즐기는,1
가회동,카페,지인,1
가회동,카페,직원,1
가회동,카페,직접,3
가회동,카페,차,5
가회동,카페,차분한,1
가회동,카페,찰떡,1
가회동,카페,찰떡 콩떡,1
가회동,카페,창가,1
가회동,카페,창덕궁,2
가회동,카페,창덕궁 뷰,1
가회동,카페,초코,4
가회동,카페,초코쿠키,1
가회동,카페,초콜릿,1
가회동,카페,추억,1
가회동,카페,추운,1
가회동,카페,추천하는,5
가회동,카페,취할,1
가회동,카페,취향,1
가회동,카페,치아바타,1
가회동,카페,치즈,4
가회동,카페,치즈쿠키,1
가회동,카페,친구랑,2
가회동,카페,친절한,29
가회동,카페,칵테일,3
가회동,카페,캔디,1
가회동,카페,커피,29
가회동,카페,커피 품격,1
가회동,카페,커피숍,1
가회동,카페,케이크,6
가회동,카페,콩,1
가회동,카페,콩떡,1
가회동,카페,쾌적한,1
가회동,카페,쿠키,3
가회동,카페,크럼블,1
가회동,카페,크루아상,1
가회동,카페,크림,4
가회동,카페,크림라떼,1
가회동,카페,큰,4
가회동,카페,타르트,2
가회동,카페,테이블,1
가회동,카페,테이블링,1
가회동,카페,테이크아웃,1
가회동,카페,파운드,3
가회동,카페,팝송,1
가회동,카페,편한,2
가회동,카페,포장,4
